Na2O,MgO,Al2O3,SiO2,P2O5,K2O,CaO,MnO,Fe2O3,ZrO2,HfO2
1.76,0.19,10.64,80.94,1.08,1.41,1.66,0.03,2.29,0,0
1.72,0.19,12.43,79.32,1.06,1.38,1.63,0.02,2.25,0,0
1.67,0.18,15.1,76.89,1.03,1.34,1.58,0.02,2.19,0,0
1.58,0.17,19.56,72.84,0.98,1.27,1.49,0.02,2.09,0,0
1.49,0.16,24.01,68.79,0.92,1.2,1.41,0.02,1.99,0,0
1.41,0.15,28.47,64.74,0.87,1.13,1.33,0.02,1.89,0,0
1.23,0.13,37.38,56.65,0.76,0.98,1.16,0.02,1.69,0,0
1.05,0.11,46.29,48.55,0.65,0.84,1,0.02,1.49,0,0
0.88,0.1,55.2,40.46,0.54,0.7,0.83,0.01,1.29,0,0
0.7,0.08,64.1,32.36,0.43,0.56,0.66,0.01,1.09,0,0
0.53,0.06,73.01,24.27,0.33,0.42,0.5,0.01,0.88,0,0
0.35,0.04,81.91,16.18,0.22,0.28,0.33,0.01,0.68,0,0
0.18,0.02,90.82,8.09,0.11,0.14,0.17,0,0.48,0,0
0.09,0.01,95.27,4.04,0.05,0.07,0.08,0,0.38,0,0
0,0,99.72,0,0,0,0,0,0.28,0,0
0,0,0,100,0,0,0,0,0,0,0
5,0,0,95,0,0,0,0,0,0,0
10,0,0,90,0,0,0,0,0,0,0
15,0,0,85,0,0,0,0,0,0,0
20,0,0,80,0,0,0,0,0,0,0
24.3,0,0,75.7,0,0,0,0,0,0,0
28,0,0,72,0,0,0,0,0,0,0
32.6,0,0,67.4,0,0,0,0,0,0,0
36,0,0,64,0,0,0,0,0,0,0
40,0,0,60,0,0,0,0,0,0,0
44.6,0,0,55.4,0,0,0,0,0,0,0
50,0,0,50,0,0,0,0,0,0,0
5,0,5,90,0,0,0,0,0,0,0
5,0,10,85,0,0,0,0,0,0,0
5,0,15,80,0,0,0,0,0,0,0
5,0,20,75,0,0,0,0,0,0,0
10,0,5,85,0,0,0,0,0,0,0
10,0,10,80,0,0,0,0,0,0,0
10,0,15,75,0,0,0,0,0,0,0
10,0,20,70,0,0,0,0,0,0,0
15,0,5,80,0,0,0,0,0,0,0
15,0,10,75,0,0,0,0,0,0,0
15,0,15,70,0,0,0,0,0,0,0
15,0,20,65,0,0,0,0,0,0,0
20,0,5,75,0,0,0,0,0,0,0
20,0,10,70,0,0,0,0,0,0,0
20,0,15,65,0,0,0,0,0,0,0
20,0,20,60,0,0,0,0,0,0,0
0,0,10,85,0,0,5,0,0,0,0
0,0,15,80,0,0,5,0,0,0,0
0,0,20,75,0,0,5,0,0,0,0
0,0,25,70,0,0,5,0,0,0,0
0,0,10,80,0,0,10,0,0,0,0
0,0,15,75,0,0,10,0,0,0,0
0,0,20,70,0,0,10,0,0,0,0
0,0,25,65,0,0,10,0,0,0,0
0,0,10,75,0,0,15,0,0,0,0
0,0,15,70,0,0,15,0,0,0,0
0,0,20,65,0,0,15,0,0,0,0
0,0,25,60,0,0,15,0,0,0,0
0,0,10,70,0,0,20,0,0,0,0
0,0,15,65,0,0,20,0,0,0,0
0,0,20,60,0,0,20,0,0,0,0
0,0,25,55,0,0,20,0,0,0,0
0,0,10,65,0,0,25,0,0,0,0
0,0,15,60,0,0,25,0,0,0,0
0,0,20,55,0,0,25,0,0,0,0
0,0,25,50,0,0,25,0,0,0,0
1.76,0.19,10.64,80.94,1.08,1.41,1.66,0.03,2.29,0,0
1.67,0.18,10.12,77.03,1.03,1.34,1.58,0.02,2.21,4.7,0.12
1.58,0.17,9.6,73.12,0.98,1.27,1.49,0.02,2.13,9.4,0.24
1.41,0.15,8.56,65.3,0.87,1.13,1.33,0.02,1.97,18.8,0.48
1.23,0.13,7.53,57.48,0.76,0.98,1.16,0.02,1.8,28.19,0.72
0.88,0.1,5.45,41.84,0.54,0.7,0.83,0.01,1.47,46.98,1.2
0.53,0.06,3.37,26.21,0.33,0.42,0.5,0.01,1.14,65.76,1.67
0,0,0.26,2.77,0,0,0,0,0.65,93.93,2.39
1.76,0.19,10.64,80.94,1.08,1.41,1.66,0.03,2.29,0,0
1.73,0.35,10.82,79.91,1.07,1.34,2.06,0.14,2.59,0,0
1.7,0.51,11,78.87,1.05,1.27,2.46,0.26,2.88,0,0
1.64,0.83,11.36,76.81,1.02,1.13,3.26,0.49,3.47,0,0
1.58,1.14,11.71,74.75,0.99,0.98,4.06,0.73,4.06,0,0
1.45,1.78,12.43,70.62,0.92,0.7,5.66,1.19,5.24,0,0
1.33,2.41,13.14,66.5,0.86,0.42,7.26,1.66,6.42,0,0
1.15,3.36,14.21,60.31,0.76,0,9.66,2.36,8.19,0,0
1.76,0.19,10.64,83.23,1.08,1.41,1.66,0.03,0,0,0
1.76,0.19,10.64,81.23,1.08,1.41,1.66,0.03,2,0,0
1.76,0.19,10.64,79.23,1.08,1.41,1.66,0.03,4,0,0
1.76,0.19,10.64,77.23,1.08,1.41,1.66,0.03,6,0,0
1.76,0.19,10.64,75.23,1.08,1.41,1.66,0.03,8.01,0,0
1.76,0.19,10.64,73.23,1.08,1.41,1.66,0.03,10.01,0,0
1.76,0.19,10.64,68.22,1.08,1.41,1.66,0.03,15.01,0,0
