SiO2,TiO2,Al2O3,Fe2O3,FeO,MnO,MgO,CaO,Na2O,K2O,P2O5,ZrO2,HfO2
0,0,99.72,0.28,0,0,0,0,0,0,0,0,0
100,0,0,0,0,0,0,0,0,0,0,0,0
80,0,10,0,0,0,0,10,0,0,0,0,0
65,0,15,0,0,0,0,20,0,0,0,0,0
60,0,20,0,0,0,0,20,0,0,0,0,0
65,0,10,0,0,0,0,25,0,0,0,0,0
60,0,15,0,0,0,0,25,0,0,0,0,0
55,0,20,0,0,0,0,25,0,0,0,0,0
0,0,100,0,0,0,0,0,0,0,0,0,0
0,0,98,2,0,0,0,0,0,0,0,0,0
0,0,96,4,0,0,0,0,0,0,0,0,0
0,0,94,6,0,0,0,0,0,0,0,0,0
0,0,92,8,0,0,0,0,0,0,0,0,0
0,0,90,10,0,0,0,0,0,0,0,0,0
0,0,85,15,0,0,0,0,0,0,0,0,0
0,0,80,20,0,0,0,0,0,0,0,0,0
28.2,0,71.8,0,0,0,0,0,0,0,0,0,0
25.38,0,64.62,10,0,0,0,0,0,0,0,0,0
